Model,MAE,MSE,RMSE,R2,MAPE,CV Score,Training Time,Inference Time,Latency,CPU Usage,Memory Usage,P Value
XGBoost,0.5157765746116638,0.6150628328323364,0.7842594167954481,0.999934196472168,0.45254297960741025,0.9999432444572449,2.477324438095093,0.04733905792236328,2.8584661507374727e-06,88.0,88.52,0.7656973705309946
Random Forest,0.0,0.0,0.0,1.0,0.0,1.0,10.537410259246826,0.10572600364685059,6.384035000715572e-06,96.61999999999999,82.24,0.7656973705309946
Decision Tree,0.0,0.0,0.0,1.0,0.0,1.0,0.49210329055786134,0.00564723014831543,3.409957217749792e-07,19.86,82.78,0.7656973705309946
Gradient Boosting,3.201145161956431,15.465601936838201,3.9326329522138472,0.9983453890856976,2.210828067137716,0.9983890830606222,44.48683867454529,0.05261859893798828,3.177259763177844e-06,14.16,84.64000000000001,0.7656973705309946
Extra Trees,0.00253607873920657,0.001290682929774772,0.03592607590281427,0.9999998619143263,0.0011019865950123785,0.9999998636451766,5.774999904632568,0.11247820854187011,6.791752221597133e-06,95.66,88.92,0.7656973705309946
