Model,CV Score,Training Time (s),Inference Time (s),Latency (s/sample),CPU Usage (%),Memory Usage (%)
XGBoost,0.9999432444572449,2.477324438095093,0.04733905792236328,2.8584661507374727e-06,88.0,88.52
Random Forest,1.0,10.537410259246826,0.10572600364685059,6.384035000715572e-06,96.61999999999999,82.24
Decision Tree,1.0,0.49210329055786134,0.00564723014831543,3.409957217749792e-07,19.86,82.78
Gradient Boosting,0.9983890830606222,44.48683867454529,0.05261859893798828,3.177259763177844e-06,14.16,84.64000000000001
Extra Trees,0.9999998636451766,5.774999904632568,0.11247820854187011,6.791752221597133e-06,95.66,88.92
